Tick 44493(44474), Delay 454 ms, IGT 37:03.538, RTA 55:03.832-55:04.286
Tick 44632(44613), Delay 55 ms, IGT 37:10.488, RTA 55:11.184-55:11.239
Tick 44741(44722), Delay 55 ms, IGT 37:15.938, RTA 55:16.634-55:16.689
Tick 45364(45345), Delay 55 ms, IGT 37:47.088, RTA 55:47.784-55:47.839
Tick 45706(45687), Delay 55 ms, IGT 38:04.188, RTA 56:04.884-56:04.939
Tick 46583(46564), Delay 55 ms, IGT 38:48.038, RTA 56:48.734-56:48.789
Tick 46892(46873), Delay 45 ms, IGT 39:03.488, RTA 57:04.189-57:04.234
Tick 46893(46874), Delay 55 ms, IGT 39:03.538, RTA 57:04.234-57:04.289
Tick 47125(47106), Delay 55 ms, IGT 39:15.138, RTA 57:15.834-57:15.889
Tick 47924(47905), Delay 55 ms, IGT 39:55.088, RTA 57:55.784-57:55.839
Tick 48129(48110), Delay 56 ms, IGT 40:05.338, RTA 58:06.034-58:06.090
Tick 48130(48111), Delay 44 ms, IGT 40:05.388, RTA 58:06.090-58:06.134
Tick 48259(48240), Delay 55 ms, IGT 40:11.838, RTA 58:12.534-58:12.589
Tick 50447(50428), Delay 55 ms, IGT 42:01.238, RTA 1:00:01.934-1:00:01.989
Tick 50828(50809), Delay 55 ms, IGT 42:20.288, RTA 1:00:20.984-1:00:21.039
Tick 51396(51377), Delay 55 ms, IGT 42:48.688, RTA 1:00:49.384-1:00:49.439
Tick 53274(53255), Delay 45 ms, IGT 44:22.588, RTA 1:02:23.289-1:02:23.334
Tick 53337(53318), Delay 45 ms, IGT 44:25.738, RTA 1:02:26.439-1:02:26.484
Tick 53549(53530), Delay 44 ms, IGT 44:36.338, RTA 1:02:37.040-1:02:37.084
Tick 54756(54737), Delay 2732 ms, IGT 45:36.688, RTA 1:03:37.386-1:03:40.118
Tick 54855(54836), Delay 45 ms, IGT 45:41.638, RTA 1:03:45.021-1:03:45.066
Tick 54885(54866), Delay 6243 ms, IGT 45:43.138, RTA 1:03:46.519-1:03:52.762
Tick 54939(54920), Delay 460 ms, IGT 45:45.838, RTA 1:03:55.413-1:03:55.873
Tick 55104(55085), Delay 45 ms, IGT 45:54.088, RTA 1:04:04.077-1:04:04.122
Tick 55191(55172), Delay 597 ms, IGT 45:58.438, RTA 1:04:08.422-1:04:09.019
Tick 55226(55207), Delay 55 ms, IGT 46:00.188, RTA 1:04:10.716-1:04:10.771
Tick 55288(55269), Delay 2184 ms, IGT 46:03.288, RTA 1:04:13.821-1:04:16.005
Tick 55955(55936), Delay 7810 ms, IGT 46:36.638, RTA 1:04:49.305-1:04:57.115
Tick 56305(56286), Delay 55 ms, IGT 46:54.138, RTA 1:05:14.561-1:05:14.616
Tick 57001(56982), Delay 45 ms, IGT 47:28.938, RTA 1:05:49.366-1:05:49.411
Tick 57948(57929), Delay 55 ms, IGT 48:16.288, RTA 1:06:36.711-1:06:36.766
Tick 58328(58309), Delay 55 ms, IGT 48:35.288, RTA 1:06:55.711-1:06:55.766
Tick 59663(59644), Delay 45 ms, IGT 49:42.038, RTA 1:08:02.466-1:08:02.511
Tick 60631(60612), Delay 55 ms, IGT 50:30.438, RTA 1:08:50.861-1:08:50.916
Tick 60791(60772), Delay 55 ms, IGT 50:38.438, RTA 1:08:58.861-1:08:58.916
Tick 60866(60847), Delay 3171 ms, IGT 50:42.188, RTA 1:09:02.616-1:09:05.787
Tick 60950(60931), Delay 3313 ms, IGT 50:46.388, RTA 1:09:09.937-1:09:13.250
Tick 61036(61017), Delay 1080 ms, IGT 50:50.688, RTA 1:09:17.502-1:09:18.582
Tick 61048(61029), Delay 2075 ms, IGT 50:51.288, RTA 1:09:19.130-1:09:21.205
Tick 61856(61837), Delay 55 ms, IGT 51:31.688, RTA 1:10:01.552-1:10:01.607
Tick 62028(62009), Delay 55 ms, IGT 51:40.288, RTA 1:10:10.153-1:10:10.208
Tick 62071(62052), Delay 55 ms, IGT 51:42.438, RTA 1:10:12.302-1:10:12.357
Tick 62176(62157), Delay 45 ms, IGT 51:47.688, RTA 1:10:17.557-1:10:17.602
Tick 62382(62363), Delay 55 ms, IGT 51:57.988, RTA 1:10:27.852-1:10:27.907
Tick 62633(62614), Delay 55 ms, IGT 52:10.538, RTA 1:10:40.402-1:10:40.457
Tick 62824(62805), Delay 4112 ms, IGT 52:20.088, RTA 1:10:49.953-1:10:54.065
