No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
39   1:32:43.592    2:32:09.502    2:32:32.374    22.872     22.872     Paused by player, Unpause by player
40   1:32:47.992    2:32:36.739    2:32:37.148    0.409      0.409      Paused by player, Unpause by player
41   1:32:58.192    2:32:47.303    2:32:48.392    1.089      1.089      Paused by player, Unpause by player
42   1:33:10.942    2:33:01.110    2:33:04.348    3.238      3.238      Paused by player, Unpause by player
43   1:33:11.992    2:33:05.377    2:33:07.441    2.064      2.064      Paused by player, Unpause by player
44   1:34:30.942    2:34:26.355    2:34:26.715    0.360      0.360      Paused by player, Unpause by player
45   1:34:33.542    2:34:29.271    2:34:29.533    0.262      0.262      Paused by player, Unpause by player
46   1:34:33.892    2:34:29.878    2:34:30.247    0.369      0.369      Paused by player, Unpause by player
47   1:34:40.042    2:34:36.374    2:34:45.470    9.096      9.096      Paused by player, Unpause by player
48   1:34:50.842    2:34:56.249    2:34:57.890    1.641      1.641      Paused by player, Unpause by player
49   1:34:55.342    2:35:02.380    2:35:02.923    0.543      0.543      Paused by player, Unpause by player
50   1:35:12.642    2:35:20.257    2:35:20.939    0.682                 Paused by player, Unpause by player / changed option
51   1:35:13.342    2:35:21.614    2:35:22.215    0.601                 Paused by player, Unpause by player / changed option
52   1:35:32.042    2:35:40.879    2:35:43.219    2.340      2.340      Paused by player, Unpause by player
53   1:36:01.442    2:36:12.598    2:36:18.439    5.841      5.841      Paused by player, Unpause by player
54   1:36:24.142    2:36:41.126    2:36:54.649    13.523     13.523     Paused by player, Unpause by player
55   1:36:28.192    2:36:58.665    2:37:02.516    3.851      3.851      Paused by player, Unpause by player
56   1:36:33.442    2:37:07.734    2:37:10.435    2.701      2.701      Paused by player, Unpause by player
57   1:37:13.842    2:37:50.804    2:37:52.056    1.252      1.252      Paused by player, Unpause by player
58   1:37:42.642    2:38:20.819    2:38:26.592    5.773      5.773      Paused by player, Unpause by player
59   1:37:57.392    2:38:41.332    2:38:41.879    0.547      0.547      Paused by player, Unpause by player
60   1:39:24.042    2:40:08.525    2:41:38.547    90.022     90.022     Paused by player, Unpause by player
61   1:39:27.992    2:41:42.471    2:41:48.047    5.576      5.576      Paused by player, Unpause by player
62   1:39:34.442    2:41:54.495    2:41:55.148    0.653      0.653      Paused by player, Unpause by player
63   1:39:39.642    2:42:00.345    2:42:08.498    8.153      8.153      Paused by player, Unpause by player
64   1:39:46.892    2:42:15.742    2:42:16.732    0.990      0.990      Paused by player, Unpause by player
65   1:39:53.642    2:42:23.437    2:42:58.018    34.581     34.581     Paused by player, Unpause by player
66   1:39:57.892    2:43:02.239    2:43:27.676    25.437     25.437     Paused by player, Unpause by player
67   1:40:05.842    2:43:35.609    2:43:51.234    15.625     15.625     Paused by player, Unpause by player
